epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,103.216,4.49452,11.6182,2.44168,0,0,0,0,3.69078,10.0995,2.27954,6.91795e-05,6.91795e-05,6.91795e-05
2,203.192,3.69891,9.7441,1.96138,0,0,0,0,3.49398,9.47132,1.96829,0.00013671,0.00013671,0.00013671
3,303.645,3.22181,8.92385,1.68948,0,0,0,0,2.93241,8.68974,1.679,0.000200726,0.000200726,0.000200726
4,405.124,2.88265,8.04428,1.53669,0,0,0,0,2.74021,8.21879,1.5514,0.000197185,0.000197185,0.000197185
5,503.662,2.63684,7.53155,1.39675,0,0,0,0,2.49413,7.64105,1.4119,0.000191913,0.000191913,0.000191913
6,603.479,2.44282,7.15067,1.33676,0.00058,0.00578,0.00046,0.00019,2.26281,7.13697,1.31043,0.000186641,0.000186641,0.000186641
7,702.497,2.2712,6.81239,1.25986,0.00225,0.03092,0.00297,0.00206,2.29289,6.85528,1.28039,0.000181369,0.000181369,0.000181369
8,805.504,2.15894,6.49665,1.22357,0.00196,0.06141,0.00464,0.00281,2.07019,6.62982,1.21615,0.000176098,0.000176098,0.000176098
9,906.76,2.13737,6.37074,1.21346,0.18622,0.00564,0.00522,0.00331,2.04894,6.48724,1.20069,0.000170826,0.000170826,0.000170826
10,1009.73,2.07382,6.12817,1.19129,0.2366,0.0093,0.00637,0.00383,1.98413,6.32704,1.17452,0.000165554,0.000165554,0.000165554
11,1111.77,2.01595,5.93268,1.16613,0.28852,0.01493,0.00834,0.00607,1.9165,6.22834,1.14936,0.000160282,0.000160282,0.000160282
12,1213.03,1.98588,5.8323,1.141,0.0147,0.10265,0.0208,0.01427,1.86206,6.04179,1.12944,0.000155011,0.000155011,0.000155011
13,1322.18,1.95042,5.68606,1.13433,0.01108,0.14335,0.02375,0.01647,1.85497,5.90749,1.11494,0.000149739,0.000149739,0.000149739
14,1432.25,1.94124,5.56827,1.12254,0.21377,0.05685,0.02309,0.01623,1.83606,5.74713,1.11299,0.000144467,0.000144467,0.000144467
15,1544.26,1.88567,5.38817,1.10476,0.26487,0.02451,0.02777,0.02059,1.86048,5.68366,1.11074,0.000139196,0.000139196,0.000139196
16,1648.51,1.91708,5.36651,1.1041,0.31854,0.0292,0.02882,0.02089,1.83016,5.57433,1.10003,0.000133924,0.000133924,0.000133924
17,1744.5,1.89039,5.26972,1.08994,0.31984,0.02758,0.02832,0.02127,1.80724,5.42824,1.09468,0.000128652,0.000128652,0.000128652
18,1833.49,1.85259,5.16412,1.07951,0.32468,0.03657,0.02928,0.02135,1.79251,5.3904,1.09606,0.00012338,0.00012338,0.00012338
19,1922.97,1.87056,5.10551,1.07862,0.30372,0.03958,0.02952,0.02116,1.76214,5.306,1.07988,0.000118108,0.000118108,0.000118108
20,2012.72,1.79752,5.00625,1.08671,0.31483,0.05303,0.02944,0.02162,1.77216,5.22942,1.0761,0.000112837,0.000112837,0.000112837
21,2100.96,1.77138,4.96761,1.06133,0.33871,0.06343,0.02845,0.01926,1.74046,5.15841,1.07112,0.000107565,0.000107565,0.000107565
22,2189.88,1.75103,4.91323,1.05991,0.31459,0.0595,0.02883,0.01984,1.71662,5.09832,1.06504,0.000102293,0.000102293,0.000102293
23,2278.35,1.80067,4.87483,1.06813,0.31036,0.05863,0.02986,0.02011,1.70497,5.05627,1.05958,9.70215e-05,9.70215e-05,9.70215e-05
24,2366.99,1.78992,4.8396,1.06826,0.31472,0.06246,0.03215,0.02168,1.73008,5.00443,1.06664,9.17498e-05,9.17498e-05,9.17498e-05
25,2456.55,1.7676,4.75675,1.05866,0.31382,0.06088,0.03235,0.02246,1.68871,4.978,1.04959,8.6478e-05,8.6478e-05,8.6478e-05
26,2545.94,1.73689,4.69977,1.04261,0.28656,0.04887,0.03382,0.02236,1.71074,4.96786,1.06453,8.12062e-05,8.12062e-05,8.12062e-05
27,2635.43,1.75393,4.69994,1.05316,0.31639,0.05971,0.03415,0.02277,1.67472,4.90649,1.04931,7.59345e-05,7.59345e-05,7.59345e-05
28,2725.46,1.72608,4.69313,1.04229,0.31877,0.04718,0.03438,0.02395,1.68013,4.87956,1.04517,7.06627e-05,7.06627e-05,7.06627e-05
29,2815.14,1.70672,4.59632,1.04061,0.34521,0.04521,0.03459,0.02334,1.71526,4.86128,1.05077,6.5391e-05,6.5391e-05,6.5391e-05
30,2904.62,1.69928,4.57785,1.03898,0.26089,0.06216,0.03579,0.02503,1.7193,4.82068,1.05413,6.01193e-05,6.01193e-05,6.01193e-05
31,2993.87,1.68882,4.49959,1.04639,0.28721,0.06469,0.03636,0.02487,1.6922,4.80658,1.04623,5.48475e-05,5.48475e-05,5.48475e-05
32,3083.18,1.63248,4.50061,1.0041,0.2866,0.0606,0.03667,0.02478,1.66622,4.78567,1.03858,4.95757e-05,4.95757e-05,4.95757e-05
33,3172.82,1.68127,4.48812,1.03703,0.31319,0.06835,0.03894,0.02608,1.67134,4.7676,1.04451,4.4304e-05,4.4304e-05,4.4304e-05
34,3262.65,1.66289,4.489,1.02409,0.31596,0.06748,0.03874,0.02651,1.65332,4.73518,1.03822,3.90323e-05,3.90323e-05,3.90323e-05
35,3351.14,1.65023,4.44171,1.01728,0.31821,0.06993,0.03927,0.02727,1.64831,4.73917,1.0369,3.37605e-05,3.37605e-05,3.37605e-05
36,3440.36,1.61537,4.40277,1.01487,0.32771,0.07806,0.04073,0.02825,1.65698,4.73061,1.03958,2.84888e-05,2.84888e-05,2.84888e-05
37,3530.15,1.67488,4.47531,1.02114,0.31785,0.06852,0.04122,0.02865,1.65152,4.70927,1.03903,2.3217e-05,2.3217e-05,2.3217e-05
38,3618.62,1.66191,4.43738,1.01972,0.32044,0.07397,0.04112,0.02809,1.6543,4.70389,1.04123,1.79452e-05,1.79452e-05,1.79452e-05
39,3708.8,1.66413,4.43136,1.022,0.32483,0.07734,0.04165,0.02887,1.65618,4.70143,1.03843,1.26735e-05,1.26735e-05,1.26735e-05
40,3797.06,1.63338,4.43829,1.02376,0.33129,0.08055,0.04255,0.02939,1.65423,4.70334,1.0349,7.40175e-06,7.40175e-06,7.40175e-06
