epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,456.012,0.92521,3.85035,0.91086,0.00098,0.20635,0.04612,0.01594,1.00209,5.16087,0.8522,0.000650407,0.000650407,0.000650407
2,909.166,0.90561,2.57694,0.92871,0.93679,0.15688,0.57965,0.44318,1.00615,4.46517,0.90688,0.00131273,0.00131273,0.00131273
3,1362.01,0.95756,2.11861,0.9481,0.8172,0.80421,0.81085,0.58325,1.01485,2.77718,0.92867,0.00197065,0.00197065,0.00197065
4,1814.47,0.9326,1.69919,0.94718,0.86943,0.8836,0.89704,0.69149,0.99039,1.78048,0.91109,0.0019802,0.0019802,0.0019802
5,2266,0.9241,1.4092,0.94045,0.84816,0.85707,0.87432,0.66284,0.92028,1.507,0.89549,0.0019736,0.0019736,0.0019736
6,2717.54,0.8303,1.14779,0.90621,0.84858,0.88889,0.91132,0.69602,0.98545,1.32336,0.92596,0.001967,0.001967,0.001967
7,3169.75,0.86922,1.00277,0.91992,0.90313,0.88794,0.91425,0.72311,0.90922,1.14562,0.89814,0.0019604,0.0019604,0.0019604
8,3621.38,0.81659,0.84857,0.9162,0.88929,0.91005,0.92744,0.69624,0.96891,1.08994,0.9078,0.0019538,0.0019538,0.0019538
9,4073.45,0.79094,0.77349,0.88482,0.92771,0.91005,0.93723,0.73269,0.90206,0.9895,0.88852,0.0019472,0.0019472,0.0019472
10,4525.13,0.8081,0.75687,0.90343,0.8882,0.92593,0.93533,0.75147,0.83114,0.94639,0.8813,0.0019406,0.0019406,0.0019406
11,4977.03,0.81779,0.73283,0.89766,0.91626,0.90476,0.94004,0.72318,0.96677,0.92973,0.91049,0.001934,0.001934,0.001934
12,5429.99,0.78484,0.66487,0.88285,0.90473,0.9418,0.94119,0.75895,0.84503,0.7999,0.86338,0.0019274,0.0019274,0.0019274
13,5883.78,0.77648,0.62657,0.88836,0.95448,0.89418,0.94291,0.7421,0.94576,0.78135,0.90749,0.0019208,0.0019208,0.0019208
14,6336.12,0.7425,0.58578,0.88396,0.91508,0.91227,0.93594,0.76067,0.86174,0.8532,0.8792,0.0019142,0.0019142,0.0019142
15,6788.85,0.77762,0.59524,0.89176,0.92596,0.93651,0.95476,0.74075,0.9606,0.77002,0.89331,0.0019076,0.0019076,0.0019076
16,7241.23,0.74129,0.58763,0.88125,0.93435,0.90367,0.94354,0.76509,0.83044,0.76434,0.88248,0.001901,0.001901,0.001901
17,7692.18,0.7357,0.57034,0.86886,0.94503,0.9096,0.94838,0.76652,0.81904,0.73259,0.85507,0.0018944,0.0018944,0.0018944
18,8143.82,0.7302,0.55595,0.87457,0.92216,0.92063,0.9418,0.77173,0.81595,0.78905,0.86065,0.0018878,0.0018878,0.0018878
19,8599.22,0.71251,0.51441,0.87552,0.90127,0.90476,0.91661,0.7535,0.82241,1.03959,0.8773,0.0018812,0.0018812,0.0018812
20,9050.96,0.70381,0.50845,0.87503,0.94,0.92593,0.95834,0.78576,0.80156,0.68776,0.86326,0.0018746,0.0018746,0.0018746
21,9503.49,0.71586,0.52325,0.87736,0.92186,0.93635,0.94516,0.76976,0.84745,0.72645,0.88002,0.001868,0.001868,0.001868
22,9956.51,0.73732,0.51696,0.87398,0.91893,0.92063,0.9379,0.74791,0.81815,0.74192,0.87273,0.0018614,0.0018614,0.0018614
23,10408.9,0.69817,0.49044,0.87294,0.93494,0.91241,0.93543,0.76076,0.80791,0.69045,0.86465,0.0018548,0.0018548,0.0018548
24,10862,0.68726,0.4971,0.86763,0.94498,0.90476,0.95029,0.77311,0.81343,0.66856,0.86716,0.0018482,0.0018482,0.0018482
