epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,372.178,0.78016,3.29908,1.2292,0.58072,0.40593,0.38809,0.33718,0.60715,1.59713,1.19482,0.00333083,0.00333083,0.00333083
2,669.016,0.6681,1.80277,1.10114,0.63595,0.70416,0.71535,0.6134,0.60548,0.92753,1.1779,0.00653221,0.00653221,0.00653221
3,958.086,0.67334,1.50275,1.09419,0.7062,0.79485,0.81939,0.74073,0.46289,0.69369,1.06227,0.0096016,0.0096016,0.0096016
4,1249.17,0.64445,1.28386,1.07673,0.77139,0.89394,0.87877,0.79087,0.46756,0.55619,1.06711,0.009406,0.009406,0.009406
5,1535.11,0.58827,1.0737,1.0491,0.818,0.91766,0.89752,0.80685,0.49462,0.44295,1.05409,0.009208,0.009208,0.009208
6,1823.23,0.55143,0.95427,1.02997,0.87462,0.948,0.92584,0.86992,0.36335,0.32702,0.96992,0.00901,0.00901,0.00901
7,2111.07,0.52304,0.88336,1.0187,0.86534,0.93836,0.91661,0.86005,0.37055,0.35634,0.97985,0.008812,0.008812,0.008812
8,2396.28,0.50383,0.83963,1.01127,0.89922,0.95041,0.92702,0.86427,0.40514,0.30592,0.97869,0.008614,0.008614,0.008614
9,2681.29,0.4916,0.79756,1.00428,0.89456,0.94585,0.93371,0.88188,0.35676,0.29023,0.97128,0.008416,0.008416,0.008416
10,2973.69,0.47811,0.77197,0.99888,0.90503,0.93211,0.93558,0.88828,0.3493,0.2847,0.9448,0.008218,0.008218,0.008218
11,3263.84,0.47068,0.75602,0.99734,0.92123,0.94758,0.95037,0.90689,0.32567,0.23888,0.94396,0.00802,0.00802,0.00802
12,3555.25,0.45975,0.73391,0.99218,0.90814,0.96033,0.9575,0.9103,0.34588,0.23352,0.94596,0.007822,0.007822,0.007822
13,3865.69,0.4537,0.71607,0.99124,0.91722,0.96059,0.96037,0.91865,0.32968,0.22859,0.9413,0.007624,0.007624,0.007624
14,4164.81,0.4447,0.69966,0.98683,0.9338,0.96785,0.97459,0.93685,0.31354,0.2091,0.93513,0.007426,0.007426,0.007426
15,4456.35,0.44193,0.68215,0.98565,0.96301,0.96494,0.97398,0.93532,0.31613,0.20467,0.93369,0.007228,0.007228,0.007228
16,4755.19,0.43421,0.66403,0.98313,0.93474,0.96962,0.97452,0.93611,0.32145,0.20328,0.9329,0.00703,0.00703,0.00703
17,5055.68,0.42978,0.65582,0.98139,0.94717,0.97463,0.97736,0.94201,0.30934,0.19266,0.93068,0.006832,0.006832,0.006832
18,5350.58,0.42753,0.64523,0.97977,0.964,0.97415,0.9834,0.9486,0.30674,0.17952,0.93158,0.006634,0.006634,0.006634
19,5644.83,0.41937,0.63087,0.9765,0.95492,0.98106,0.9866,0.94779,0.31334,0.18247,0.93046,0.006436,0.006436,0.006436
20,5931.6,0.41733,0.62045,0.97675,0.97722,0.97051,0.9859,0.95189,0.30369,0.17153,0.93061,0.006238,0.006238,0.006238
21,6224.59,0.41555,0.61361,0.97577,0.97964,0.96835,0.98282,0.94713,0.30414,0.17075,0.92799,0.00604,0.00604,0.00604
22,6517.61,0.40893,0.6104,0.97516,0.97561,0.97627,0.98518,0.95309,0.29693,0.17005,0.92856,0.005842,0.005842,0.005842
23,6818.28,0.40562,0.59862,0.97256,0.97757,0.97374,0.98735,0.9558,0.29288,0.16417,0.92796,0.005644,0.005644,0.005644
24,7117.45,0.39959,0.5836,0.97096,0.98087,0.98386,0.99062,0.9604,0.29086,0.15702,0.92325,0.005446,0.005446,0.005446
25,7418.48,0.3952,0.58257,0.96895,0.98515,0.98184,0.98707,0.95827,0.28433,0.15449,0.92598,0.005248,0.005248,0.005248
26,7720.39,0.39309,0.56807,0.96821,0.98085,0.98967,0.99029,0.96123,0.2858,0.14929,0.92385,0.00505,0.00505,0.00505
27,8020.76,0.39002,0.56399,0.96802,0.987,0.98495,0.99171,0.96276,0.28331,0.14818,0.92402,0.004852,0.004852,0.004852
28,8315.71,0.38464,0.54872,0.96587,0.98824,0.98569,0.99291,0.96455,0.28136,0.14457,0.92574,0.004654,0.004654,0.004654
29,8614.1,0.38411,0.55192,0.96572,0.98219,0.98889,0.99248,0.96424,0.27843,0.14485,0.92484,0.004456,0.004456,0.004456
30,8906.78,0.37767,0.54035,0.96498,0.98974,0.98654,0.99345,0.966,0.27725,0.14135,0.92367,0.004258,0.004258,0.004258
31,9194.81,0.37172,0.53391,0.96272,0.99251,0.98898,0.99434,0.96802,0.27329,0.13546,0.92234,0.00406,0.00406,0.00406
32,9482.52,0.37056,0.52576,0.9626,0.99464,0.98694,0.99461,0.96873,0.27157,0.13356,0.92194,0.003862,0.003862,0.003862
33,9768.21,0.36648,0.51564,0.96262,0.99229,0.99357,0.99482,0.96912,0.27209,0.13086,0.92249,0.003664,0.003664,0.003664
34,10051.9,0.36486,0.50926,0.96183,0.99203,0.99412,0.99469,0.96967,0.26911,0.12753,0.922,0.003466,0.003466,0.003466
35,10339.3,0.35791,0.50021,0.95794,0.99378,0.99241,0.99474,0.9703,0.26783,0.12846,0.92219,0.003268,0.003268,0.003268
36,10624.3,0.35224,0.48367,0.95567,0.9947,0.99218,0.9948,0.97012,0.26692,0.12795,0.92258,0.00307,0.00307,0.00307
37,10914.2,0.34951,0.48768,0.95656,0.99361,0.9919,0.99489,0.96989,0.26649,0.12785,0.92294,0.002872,0.002872,0.002872
38,11205.8,0.34764,0.47762,0.95656,0.99378,0.99235,0.99492,0.97036,0.265,0.12646,0.9224,0.002674,0.002674,0.002674
39,11496,0.34728,0.4697,0.9552,0.9945,0.99228,0.99497,0.97103,0.26368,0.12536,0.92187,0.002476,0.002476,0.002476
40,11787.7,0.34438,0.46584,0.95489,0.99593,0.99201,0.99497,0.97112,0.26283,0.12452,0.92187,0.002278,0.002278,0.002278
41,12064.6,0.38346,0.19927,1.02456,0.99556,0.99315,0.995,0.97082,0.26201,0.1239,0.92162,0.00208,0.00208,0.00208
42,12343.3,0.37452,0.18934,1.01114,0.99414,0.99667,0.995,0.97074,0.26153,0.12323,0.92139,0.001882,0.001882,0.001882
43,12616.1,0.36419,0.18543,1.00253,0.99627,0.9951,0.995,0.97089,0.26026,0.12175,0.92098,0.001684,0.001684,0.001684
44,12918.5,0.35689,0.1746,0.99707,0.99664,0.99551,0.995,0.97114,0.25959,0.12106,0.92059,0.001486,0.001486,0.001486
