epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,449.141,1.98871,0.79354,0.96265,0.67196,0.00333083,0.00333083,0.00333083
2,902.073,0.49726,0.90353,0.98742,0.32312,0.00662018,0.00662018,0.00662018
3,1361.49,0.43479,0.85248,0.97616,0.49141,0.00986553,0.00986553,0.00986553
4,1816.47,0.41357,0.86806,0.99118,0.40416,0.009802,0.009802,0.009802
5,2262.97,0.28511,0.91385,0.99381,0.27705,0.009736,0.009736,0.009736
6,2707.92,0.22531,0.92136,0.99287,0.24056,0.00967,0.00967,0.00967
7,3161.24,0.19677,0.92286,0.99681,0.24083,0.009604,0.009604,0.009604
8,3615.88,0.17198,0.93375,0.99531,0.26833,0.009538,0.009538,0.009538
9,4068.28,0.16195,0.92943,0.99493,0.24328,0.009472,0.009472,0.009472
10,4519.14,0.14411,0.93037,0.99606,0.27523,0.009406,0.009406,0.009406
11,4968.97,0.13702,0.93581,0.99399,0.25274,0.00934,0.00934,0.00934
12,5414.33,0.12476,0.93468,0.99512,0.36832,0.009274,0.009274,0.009274
13,5859.77,0.1283,0.94182,0.99662,0.23395,0.009208,0.009208,0.009208
14,6296.83,0.11749,0.93712,0.9923,0.24571,0.009142,0.009142,0.009142
15,6736.47,0.11568,0.9405,0.99756,0.29904,0.009076,0.009076,0.009076
16,7174.22,0.10651,0.93825,0.99343,0.31781,0.00901,0.00901,0.00901
17,7628.46,0.10628,0.93788,0.99681,0.32095,0.008944,0.008944,0.008944
18,8085.38,0.11338,0.942,0.99794,0.22205,0.008878,0.008878,0.008878
19,8533.12,0.10357,0.93938,0.99756,0.27137,0.008812,0.008812,0.008812
20,8975.32,0.09701,0.94107,0.99756,0.269,0.008746,0.008746,0.008746
21,9417.25,0.09926,0.94595,0.99794,0.23324,0.00868,0.00868,0.00868
22,9858.02,0.096,0.94013,0.99794,0.25908,0.008614,0.008614,0.008614
23,10303,0.09285,0.942,0.99737,0.29597,0.008548,0.008548,0.008548
24,10757.1,0.09194,0.9467,0.99831,0.26866,0.008482,0.008482,0.008482
25,11216.3,0.09073,0.95064,0.9985,0.2319,0.008416,0.008416,0.008416
26,11663.1,0.08763,0.9467,0.99887,0.27529,0.00835,0.00835,0.00835
27,12109.3,0.08383,0.94914,0.99794,0.25356,0.008284,0.008284,0.008284
28,12549.8,0.0898,0.95101,0.9985,0.22741,0.008218,0.008218,0.008218
29,13001.1,0.09519,0.94989,0.99831,0.23989,0.008152,0.008152,0.008152
30,13459.1,0.08608,0.94764,0.99812,0.2267,0.008086,0.008086,0.008086
31,13923.7,0.07404,0.94707,0.99869,0.23582,0.00802,0.00802,0.00802
32,14395.8,0.08437,0.94989,0.99756,0.25097,0.007954,0.007954,0.007954
33,14859,0.08032,0.95064,0.99831,0.2602,0.007888,0.007888,0.007888
